Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Coworker Encryption,5,2,IBAN-NIF,10,0,192.12369993329048
Coworker Encryption,5,2,IBAN-NIF,10,1,191.57559983432293
Coworker Encryption,5,2,IBAN-NIF,10,2,209.44479992613196
Coworker Encryption,5,2,IBAN-NIF,10,3,191.45549996756017
Coworker Encryption,5,2,IBAN-NIF,10,4,191.59060018137097
Coworker Encryption,5,2,IBAN-NIF,10,5,193.20720015093684
Coworker Encryption,5,2,IBAN-NIF,10,6,195.64000004902482
Coworker Encryption,5,2,IBAN-NIF,10,7,213.45099993050098
Coworker Encryption,5,2,IBAN-NIF,10,8,191.90400000661612
Coworker Encryption,5,2,IBAN-NIF,10,9,190.33669983036816
Coworker Encryption,5,2,IBAN-NIF,10,10,189.20959997922182
Coworker Encryption,5,2,IBAN-NIF,10,11,197.68420001491904
Coworker Encryption,5,2,IBAN-NIF,10,12,213.55330012738705
Coworker Encryption,5,2,IBAN-NIF,10,13,189.50850004330277
Coworker Encryption,5,2,IBAN-NIF,10,14,193.57840018346906
Coworker Encryption,5,2,IBAN-NIF,10,15,189.78419993072748
Coworker Encryption,5,2,IBAN-NIF,10,16,191.56899978406727
Coworker Encryption,5,2,IBAN-NIF,10,17,198.27120006084442
Coworker Encryption,5,2,IBAN-NIF,10,18,188.74519993551075
Coworker Encryption,5,2,IBAN-NIF,10,19,193.70350008830428
Coworker Encryption,5,2,IBAN-NIF,10,20,185.65479991957545
Coworker Encryption,5,2,IBAN-NIF,10,21,194.26309992559254
Coworker Encryption,5,2,IBAN-NIF,10,22,203.58550013042986
Coworker Encryption,5,2,IBAN-NIF,10,23,213.53839989751577
Coworker Encryption,5,2,IBAN-NIF,10,24,191.79549999535084
Coworker Encryption,5,2,IBAN-NIF,10,25,188.76420008018613
Coworker Encryption,5,2,IBAN-NIF,10,26,185.7672999612987
Coworker Encryption,5,2,IBAN-NIF,10,27,195.7310999277979
Coworker Encryption,5,2,IBAN-NIF,10,28,195.6678000278771
Coworker Encryption,5,2,IBAN-NIF,10,29,203.69870006106794
