Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
created_on Encryption,1,1,created_on,1000,0,327.7940999250859
created_on Encryption,1,1,created_on,1000,1,340.29520000331104
created_on Encryption,1,1,created_on,1000,2,380.4927000310272
created_on Encryption,1,1,created_on,1000,3,320.21729997359216
created_on Encryption,1,1,created_on,1000,4,360.9054998960346
created_on Encryption,1,1,created_on,1000,5,337.773600127548
created_on Encryption,1,1,created_on,1000,6,364.3404000904411
created_on Encryption,1,1,created_on,1000,7,356.1205000150949
created_on Encryption,1,1,created_on,1000,8,262.81250012107193
created_on Encryption,1,1,created_on,1000,9,255.569500150159
created_on Encryption,1,1,created_on,1000,10,260.1379998959601
created_on Encryption,1,1,created_on,1000,11,259.28170001134276
created_on Encryption,1,1,created_on,1000,12,265.72120003402233
created_on Encryption,1,1,created_on,1000,13,317.71209998987615
created_on Encryption,1,1,created_on,1000,14,258.5664000362158
created_on Encryption,1,1,created_on,1000,15,263.11429985798895
created_on Encryption,1,1,created_on,1000,16,257.43040000088513
created_on Encryption,1,1,created_on,1000,17,251.97739992290735
created_on Encryption,1,1,created_on,1000,18,248.16310009919107
created_on Encryption,1,1,created_on,1000,19,260.01959992572665
created_on Encryption,1,1,created_on,1000,20,254.23249998129904
created_on Encryption,1,1,created_on,1000,21,264.82669985853136
created_on Encryption,1,1,created_on,1000,22,262.84019998274744
created_on Encryption,1,1,created_on,1000,23,249.1256999783218
created_on Encryption,1,1,created_on,1000,24,254.09469986334443
created_on Encryption,1,1,created_on,1000,25,258.22879979386926
created_on Encryption,1,1,created_on,1000,26,260.28849999420345
created_on Encryption,1,1,created_on,1000,27,262.22979999147356
created_on Encryption,1,1,created_on,1000,28,252.18080007471144
created_on Encryption,1,1,created_on,1000,29,252.14420002885163
