Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
name Encryption,1,1,name,10000,0,1042.99550014548
name Encryption,1,1,name,10000,1,994.7623999323696
name Encryption,1,1,name,10000,2,1012.9565000534058
name Encryption,1,1,name,10000,3,1075.594900175929
name Encryption,1,1,name,10000,4,1014.6539998240769
name Encryption,1,1,name,10000,5,1054.8203999642283
name Encryption,1,1,name,10000,6,1119.2572000436485
name Encryption,1,1,name,10000,7,1597.7128997910768
name Encryption,1,1,name,10000,8,1473.1048999819905
name Encryption,1,1,name,10000,9,1042.0756000094116
name Encryption,1,1,name,10000,10,1037.9320001229644
name Encryption,1,1,name,10000,11,966.6679000947624
name Encryption,1,1,name,10000,12,1006.6720000468194
name Encryption,1,1,name,10000,13,1081.1278000473976
name Encryption,1,1,name,10000,14,958.6654000449926
name Encryption,1,1,name,10000,15,955.5735001340508
name Encryption,1,1,name,10000,16,928.6893999669701
name Encryption,1,1,name,10000,17,980.7533998973668
name Encryption,1,1,name,10000,18,1013.174100080505
name Encryption,1,1,name,10000,19,1005.1927000749856
name Encryption,1,1,name,10000,20,1013.0606000311673
name Encryption,1,1,name,10000,21,1008.5597999859601
name Encryption,1,1,name,10000,22,979.058199794963
name Encryption,1,1,name,10000,23,996.2349999696016
name Encryption,1,1,name,10000,24,982.0668001193553
name Encryption,1,1,name,10000,25,969.6506001055241
name Encryption,1,1,name,10000,26,1062.9640000406653
name Encryption,1,1,name,10000,27,1064.7865999490023
name Encryption,1,1,name,10000,28,962.719300063327
name Encryption,1,1,name,10000,29,1092.1821999363601
