Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
is_active Encryption,1,1,is_active,10,194.95257998351008,6.726167582245951,216.347899986431,187.03270005062222
is_active Encryption,1,1,is_active,100,206.50697335756072,17.88713518578879,263.9301000162959,190.36600016988814
is_active Encryption,1,1,is_active,1000,296.4673566554363,37.88152458782483,372.3117997869849,248.67659993469715
is_active Encryption,1,1,is_active,2000,381.1232900091757,57.22765161148242,483.24790014885366,298.20639989338815
is_active Encryption,1,1,is_active,5000,743.3624366919199,213.50951066577818,1259.7793000750244,550.2771998289973
is_active Encryption,1,1,is_active,10000,1103.9224866389607,266.90767305973856,1890.8453001640737,893.6324000824243
is_active,0,-,is_active,10,198.8548033249875,4.195199117676936,210.38589999079704,193.20939993485808
is_active,0,-,is_active,100,220.0423900038004,34.79571174032875,275.41300002485514,189.67369990423322
is_active,0,-,is_active,1000,210.17807001092783,15.336335587222887,278.5292000044137,194.44809993728995
is_active,0,-,is_active,2000,225.59518998799226,20.910748282237645,305.1607001107186,209.3923999927938
is_active,0,-,is_active,5000,377.641769987531,41.815397986478445,495.98210002295673,334.523499943316
is_active,0,-,is_active,10000,545.3593400617441,48.39462949567518,610.8594001270831,464.91420012898743
