Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,0,1069.0764000173658
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,1,964.4287000410259
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,2,964.7238000761718
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,3,916.8901999946684
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,4,934.3760998453945
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,5,1013.8020000886172
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,6,1006.9540000986308
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,7,902.7748999651521
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,8,904.8329999204725
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,9,924.3970999959856
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,10,1383.3950001280755
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,11,1051.7885000444949
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,12,996.6461998410523
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,13,986.8362999986857
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,14,994.2191999871284
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,15,885.3848001454026
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,16,877.034500008449
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,17,887.0906999800354
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,18,1018.8324998598546
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,19,958.8566001038998
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,20,873.0720998719335
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,21,936.8282000068575
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,22,883.1007999833673
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,23,1054.6239002142102
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,24,956.7539999261498
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,25,840.6396999489516
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,26,831.0521999374032
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,27,948.0047998949885
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,28,1033.6109998170286
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,29,997.1932999324054
