Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,0,306.23600000035367
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,1,384.4103000010364
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,2,298.5085000000254
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,3,300.25860000023386
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,4,306.93029999747523
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,5,305.73459999868646
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,6,291.6275999996287
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,7,302.94579999826965
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,8,294.47269999946
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,9,319.664599999669
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,10,318.0815999985498
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,11,312.51089999932447
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,12,318.0004000023473
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,13,306.25140000120155
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,14,314.4605999987107
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,15,374.42030000238447
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,16,295.96740000124555
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,17,318.43319999825326
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,18,314.9763000001258
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,19,315.523099998245
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,20,308.2431999973778
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,21,295.11210000055144
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,22,319.4602000003215
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,23,294.20369999934337
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,24,306.12180000025546
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,25,290.99480000149924
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,26,345.8995999972103
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,27,300.5062000011094
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,28,321.79610000093817
Shift,0,-,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,29,300.1721999971778
