Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Shift,10,0,-,2000,0,226.47759993560612
Shift,10,0,-,2000,1,266.55979990027845
Shift,10,0,-,2000,2,223.65379985421896
Shift,10,0,-,2000,3,230.54699995554984
Shift,10,0,-,2000,4,234.31100021116436
Shift,10,0,-,2000,5,237.93569998815656
Shift,10,0,-,2000,6,228.72580005787313
Shift,10,0,-,2000,7,226.1874999385327
Shift,10,0,-,2000,8,255.8061999734491
Shift,10,0,-,2000,9,254.2999000288546
Shift,10,0,-,2000,10,236.22369999065995
Shift,10,0,-,2000,11,305.6689999066293
Shift,10,0,-,2000,12,226.46649996750057
Shift,10,0,-,2000,13,242.40959994494915
Shift,10,0,-,2000,14,226.23550007119775
Shift,10,0,-,2000,15,227.7868001256138
Shift,10,0,-,2000,16,222.08709991537035
Shift,10,0,-,2000,17,234.29999989457428
Shift,10,0,-,2000,18,220.56939988397062
Shift,10,0,-,2000,19,223.81390002556145
Shift,10,0,-,2000,20,259.54309990629554
Shift,10,0,-,2000,21,237.17419989407063
Shift,10,0,-,2000,22,226.15329991094768
Shift,10,0,-,2000,23,227.91259991936386
Shift,10,0,-,2000,24,220.25350015610456
Shift,10,0,-,2000,25,224.96850020252168
Shift,10,0,-,2000,26,217.33639994636178
Shift,10,0,-,2000,27,224.25939980894327
Shift,10,0,-,2000,28,268.5698000714183
Shift,10,0,-,2000,29,254.36090002767742
