Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10,208.49646332208067,6.119183046231063,228.08559983968735,200.10929997079074
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,100,256.1565833554293,29.011963941442044,349.8662000056356,226.78530006669462
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,1000,617.7003966722017,82.17762407494797,995.450200047344,534.1043998487294
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,2000,966.5740166557953,101.50352551811991,1383.3950001280755,831.0521999374032
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,5000,2176.8029333092272,132.3432552657567,2493.933199904859,1939.1500998754054
Shift Encryption,10,6,Cod-Desc-Created_By-Created_On-Updated_By-Updated_On,10000,4134.334786663142,163.22978177332263,4433.293299982324,3862.8095001913607
Shift,10,0,-,10,191.228809991541,7.154426461010151,219.4827999919653,184.00839995592833
Shift,10,0,-,100,203.90554001399627,4.490284907846738,217.92179998010397,198.1150999199599
Shift,10,0,-,1000,216.60523665292808,8.73468873586257,243.87459992431104,204.77350009605289
Shift,10,0,-,2000,237.01991664711386,19.263967567053506,305.6689999066293,217.33639994636178
Shift,10,0,-,5000,408.02379998688895,22.484549623137113,452.11319997906685,378.1288000755012
Shift,10,0,-,10000,609.184266657879,31.45447160945261,673.4046000055969,549.3199001066387
