Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,0,226.56029998324811
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,1,224.7073999606073
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,2,218.60460005700588
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,3,213.47690001130104
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,4,220.80460004508495
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,5,257.6960001606494
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,6,247.92870017699897
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,7,219.13530002348125
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,8,210.63060010783374
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,9,210.29520011506975
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,10,231.4860001206398
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,11,228.1610001809895
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,12,212.8993000369519
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,13,216.21580002829432
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,14,224.18119991198182
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,15,213.45719997771084
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,16,231.7078998312354
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,17,215.47389985062182
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,18,213.40809995308518
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,19,222.26050007157028
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,20,213.97210005670786
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,21,226.9991000648588
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,22,224.8165998607874
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,23,215.10450006462634
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,24,239.62790006771684
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,25,224.1803000215441
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,26,214.59790016524494
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,27,215.1550999842584
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,28,219.51079997234046
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,29,221.9281999859959
