Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Run Id,Time(ms)
Team,4,0,-,5000,0,563.1816999521106
Team,4,0,-,5000,1,376.5479999128729
Team,4,0,-,5000,2,380.23859984241426
Team,4,0,-,5000,3,385.82190009765327
Team,4,0,-,5000,4,456.2333000358194
Team,4,0,-,5000,5,382.1262000128627
Team,4,0,-,5000,6,375.1747999340296
Team,4,0,-,5000,7,365.52200000733137
Team,4,0,-,5000,8,446.96400011889637
Team,4,0,-,5000,9,396.19959983974695
Team,4,0,-,5000,10,380.0668001640588
Team,4,0,-,5000,11,371.7062999494374
Team,4,0,-,5000,12,420.4577999189496
Team,4,0,-,5000,13,393.9363998360932
Team,4,0,-,5000,14,363.177299965173
Team,4,0,-,5000,15,372.33570008538663
Team,4,0,-,5000,16,458.17240001633763
Team,4,0,-,5000,17,416.6438998654485
Team,4,0,-,5000,18,382.2839998174459
Team,4,0,-,5000,19,404.3115000240505
Team,4,0,-,5000,20,385.9246000647545
Team,4,0,-,5000,21,444.4077000953257
Team,4,0,-,5000,22,373.31579998135567
Team,4,0,-,5000,23,392.3148999456316
Team,4,0,-,5000,24,383.40940000489354
Team,4,0,-,5000,25,454.80490010231733
Team,4,0,-,5000,26,410.9940999187529
Team,4,0,-,5000,27,424.53459999524057
Team,4,0,-,5000,28,411.5376998670399
Team,4,0,-,5000,29,466.61069989204407
