Table,Num Vars,Num Encrypted Vars,Encrypted fields,Rows,Mean_Time,Std_Time,Max_Time,Min_Time
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,10,199.19177669410905,20.022155122933142,299.8059999663383,187.8295000642538
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,229.00119663681835,11.87161677739646,259.64069995097816,209.72710009664297
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,1000,502.3368666957443,163.7880554258896,1275.1514001283795,387.54589995369315
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,2000,840.8822067004318,288.33378849404903,1879.391600145027,575.6231001578271
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,5000,1695.3704633439581,494.66593186668274,3823.647700017318,1356.0345000587404
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,10000,2747.4241833512983,241.6639743908317,3427.220300072804,2509.922099998221
Team,4,0,-,10,192.366026652356,5.898559857896037,213.2584999781102,184.85309998504817
Team,4,0,-,100,196.55710000079125,5.8012228044153975,208.20809993892908,188.03870002739131
Team,4,0,-,1000,229.46044667623937,23.41706073806516,285.4253000114113,204.395700013265
Team,4,0,-,2000,239.9159066611901,23.887454907848706,305.25610013864934,212.41930010728538
Team,4,0,-,2000,246.2692233423392,25.1837556242926,318.1517000775784,216.50570002384484
Team,4,0,-,5000,407.96521997544914,42.61053767185347,563.1816999521106,363.177299965173
Team,4,0,-,10000,596.023860007214,51.50022343635434,764.2302000895143,512.6840001903474
Team,4,0,-,100,198.3069633676981,5.822532532898967,212.43960014544427,189.8525001015514
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,278.7540833543365,44.5026665886582,375.84370002150536,218.8112000003457
Team Encryption,4,4,Name-Desc-Num_Hours-Is_Active,100,222.49943336161473,10.872553284807196,257.6960001606494,210.29520011506975
